,Sentence,Parser Outputs
905,mi lon tomo pi kule loje anu tomo pi kule jelo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(lon),obj_i((noun(tomo),noun(kule),adjective(loje)),obj_a(conj(anu),(noun(tomo),noun(kule),adjective(jelo)))))))"
906,mi lukin ala e poki laso.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(lukin),adverb(ala)),obj_d((noun(poki),adjective(laso))))))"
907,mi lukin e insa sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d((noun(insa),pronoun(sina))))))"
908,mi lukin e kon mi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d((noun(kon),pronoun(mi))))))"
909,mi lukin e ma.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d(noun(ma)))))"
910,mi lukin e ma poka jan pona mi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d((noun(ma),(adjective(poka),adjective(jan),adjective(pona)),pronoun(mi))))))"
912,mi lukin e mije anu meli.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d(noun(mije),obj_a(conj(anu),noun(meli))))))"
913,mi lukin e ni.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d(pronoun(ni)))))"
914,mi lukin e oko laso sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d((noun(oko),adjective(laso),pronoun(sina))))))"
916,mi lukin e waso tu wan.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(lukin),obj_d((noun(waso),card((numeral(tu),numeral(wan))))))))"
919,mi lukin kin e ona.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(lukin),adverb(kin)),obj_d(pronoun(ona)))))"
922,mi lukin taso e meli ni!,"s(exc(subj_p(pronoun(mi)),pred_p((verb_t(lukin),adverb(taso)),obj_d((noun(meli),pronoun(ni))))))"
928,mi moku ala e soweli.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(moku),adverb(ala)),obj_d(noun(soweli)))))"
929,mi moku e kili.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(kili)))))"
930,mi moku e kili e telo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),(obj_d(noun(kili)),obj_d(noun(telo))))))"
931,mi moku e moku!,"s(exc(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
932,mi moku e moku.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
933,mi moku e moku a.,"s(exc(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))),interjection(a))"
934,mi moku e moku e telo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),(obj_d(noun(moku)),obj_d(noun(telo))))))"
935,mi moku e moku e telo e kili.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),(obj_d(noun(moku)),obj_d(noun(telo)),obj_d(noun(kili))))))"
936,mi moku e moku e telo e kili e soweli.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),(obj_d(noun(moku)),obj_d(noun(telo)),obj_d(noun(kili)),obj_d(noun(soweli))))))"
940,mi moku e moku mi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d((noun(moku),pronoun(mi))))))"
942,mi moku e pan pi ma sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d((noun(pan),noun(ma),pronoun(sina))))))"
943,mi moku e telo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(telo)))))"
967,mi nanpa e mani mi lon esun suli.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(nanpa),obj_d((noun(mani),pronoun(mi))),obj_p(preposition(lon),(noun(esun),adjective(suli))))))"
968,"mi nanpa e mani mi, lon esun suli.","s(dec(subj_p(pronoun(mi)),pred_p(verb_t(nanpa),obj_d((noun(mani),pronoun(mi))),obj_p(preposition(lon),(noun(esun),adjective(suli))))))"
969,mi olin e meli pi pona lukin.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d((noun(meli),noun(pona),adjective(lukin))))))"
970,mi olin e meli pi pona lukin anu meli mi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d((noun(meli),noun(pona),adjective(lukin)),obj_a(conj(anu),(noun(meli),pronoun(mi)))))))"
971,mi olin e meli pi pona lukin e meli mi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),(obj_d((noun(meli),noun(pona),adjective(lukin))),obj_d((noun(meli),pronoun(mi)))))))"
972,mi olin e sina!,"s(exc(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d(pronoun(sina)))))"
973,mi olin e sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d(pronoun(sina)))))"
974,mi olin e sina pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d((pronoun(sina),adjective(pona))))))"
975,mi olin e sina pona anu ona pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d((pronoun(sina),adjective(pona)),obj_a(conj(anu),(pronoun(ona),adjective(pona)))))))"
976,mi olin e sina pona e ona pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),(obj_d((pronoun(sina),adjective(pona))),obj_d((pronoun(ona),adjective(pona)))))))"
977,mi olin e sina pona e ona pona e mi pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(olin),(obj_d((pronoun(sina),adjective(pona))),obj_d((pronoun(ona),adjective(pona))),obj_d((pronoun(mi),adjective(pona)))))))"
978,mi olin kin e sina.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(olin),adverb(kin)),obj_d(pronoun(sina)))))"
979,mi o moku e ijo pona.,"s(imp(com(subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d((noun(ijo),adjective(pona)))))))"
980,mi o olin e sina.,"s(imp(com(subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d(pronoun(sina))))))"
982,mi o sona e sina.,"s(imp(com(subj_p(pronoun(mi)),pred_p(verb_t(sona),obj_d(pronoun(sina))))))"
984,mi pali e seme?,"s(int(what_d_object(subj_p(pronoun(mi)),pred_p(verb_t(pali),obj_d(pronoun_interrogative(seme))))))"
991,mi pali pona e ilo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(pali),adverb(pona)),obj_d(noun(ilo)))))"
992,mi pali pona mute e ilo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(pali),adverb(pona),adverb(mute)),obj_d(noun(ilo)))))"
994,mi pana ala e ni.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(pana),adverb(ala)),obj_d(pronoun(ni)))))"
997,mi pana e kala ona lon tomo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pana),obj_d((noun(kala),pronoun(ona))),obj_p(preposition(lon),noun(tomo)))))"
1002,"mi pana e tomo, tawa sina.","s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pana),obj_d(noun(tomo)),obj_p(preposition(tawa),pronoun(sina)))))"
1003,mi pilin e ni: ona li jo ala e mani.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pilin),obj_d(pronoun(ni))),subj_p(pronoun(ona)),pred_p((verb_t(jo),adverb(ala)),obj_d(noun(mani)))))"
1006,mi pilin e seli sijelo sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pilin),obj_d((noun(seli),adjective(sijelo),pronoun(sina))))))"
1007,mi pilin e seli sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pilin),obj_d((noun(seli),pronoun(sina))))))"
1008,mi pilin e sijelo sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pilin),obj_d((noun(sijelo),pronoun(sina))))))"
1013,mi pilin pi meli ni.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),(noun(pilin),noun(meli),pronoun(ni)))))"
1017,mi pona ala pona tawa sina?,"s(int(yes_no(subj_p(pronoun(mi)),pred_p(verb_t(pona),adverb(ala),verb_t(pona),obj_p(preposition(tawa),pronoun(sina))))))"
1018,"mi pona e ale mi, la mi pona e mi.","s(dec(cond_p(subj_p(pronoun(mi)),pred_p(verb_t(pona),obj_d((noun(ale),pronoun(mi))))),subj_p(pronoun(mi)),pred_p(verb_t(pona),obj_d(pronoun(mi)))))"
1019,mi pona e ijo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pona),obj_d(noun(ijo)))))"
1021,"mi pona e ni, kepeken ilo wawa, kepeken telo pona, kepeken ilo suno.","s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pona),obj_d(pronoun(ni)),(obj_p(preposition(kepeken),(noun(ilo),adjective(wawa))),obj_p(preposition(kepeken),(noun(telo),adjective(pona))),obj_p(preposition(kepeken),(noun(ilo),adjective(suno)))))))"
1022,mi pona e tomo pi jan Lope en ona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pona),obj_d((noun(tomo),(noun(jan),unofficial_male_name(known_male_name(Lope))),conj(en),pronoun(ona))))))"
1023,mi pona e tomo pi sina en ona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(pona),obj_d((noun(tomo),pronoun(sina),conj(en),pronoun(ona))))))"
1024,mi pona pona musi sama mute e ilo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(pona),adverb(pona),adverb(musi),adverb(sama),adverb(mute)),obj_d(noun(ilo)))))"
1025,mi pona pona mute ala e ilo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(pona),adverb(pona),adverb(mute),adverb(ala)),obj_d(noun(ilo)))))"
1032,mi seme e jan telo nasa?,"s(int(what_verb(subj_p(pronoun(mi)),pred_p(verb_t(pronoun_interrogative(seme)),obj_d((noun(jan),adjective(telo),adjective(nasa)))))))"
1033,mi seme e jan telo nasa lon tenpo suno ni?,"s(int(what_verb(subj_p(pronoun(mi)),pred_p(verb_t(pronoun_interrogative(seme)),obj_d((noun(jan),adjective(telo),adjective(nasa))),obj_p(preposition(lon),(noun(tenpo),adjective(suno),pronoun(ni)))))))"
1037,mi sona ala e tan.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(sona),adverb(ala)),obj_d(noun(tan)))))"
1038,mi sona e ni taso.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(sona),obj_d((pronoun(ni),adjective(taso))))))"
1039,mi sona e tan.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(sona),obj_d(noun(tan)))))"
1043,mi sona e toki pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(sona),obj_d((noun(toki),adjective(pona))))))"
1049,mi tawa e kiwen.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(tawa),obj_d(noun(kiwen)))))"
1055,"mi telo e mi, lon tomo telo.","s(dec(subj_p(pronoun(mi)),pred_p(verb_t(telo),obj_d(pronoun(mi)),obj_p(preposition(lon),(noun(tomo),adjective(telo))))))"
1060,mi toki pi jan ike.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),(noun(toki),noun(jan),adjective(ike)))))"
1061,mi toki pona e ijo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(toki),adverb(pona)),obj_d(noun(ijo)))))"
1064,mi toki wawa e ni: sina pali e mi tawa seme?,"s(int(subj_p(pronoun(mi)),pred_p((verb_t(toki),adverb(wawa)),obj_d(pronoun(ni))),where_to(subj_p(pronoun(sina)),(pred_p(verb_t(pali),obj_d(pronoun(mi))),obj_p(preposition(tawa),pronoun_interrogative(seme))))))"
1069,mi weka e ijo tu ni.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(weka),obj_d((noun(ijo),card(numeral(tu)),pronoun(ni))))))"
1070,"mi weka e ike jan, la mi weka e ike mi.","s(dec(cond_p(subj_p(pronoun(mi)),pred_p(verb_t(weka),obj_d((noun(ike),adjective(jan))))),subj_p(pronoun(mi)),pred_p(verb_t(weka),obj_d((noun(ike),pronoun(mi))))))"
1072,mi wile ala e soweli ante.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(wile),adverb(ala)),obj_d((noun(soweli),adjective(ante))))))"
1078,mi wile ala toki pi kalama musi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),((noun(wile),adjective(ala),adjective(toki)),noun(kalama),adjective(musi)))))"
1080,mi wile e ilo moku.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d((noun(ilo),adjective(moku))))))"
1081,mi wile e jan pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d((noun(jan),adjective(pona))))))"
1082,mi wile e moku e telo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),(obj_d(noun(moku)),obj_d(noun(telo))))))"
1083,mi wile e ni.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(pronoun(ni)))))"
1087,mi wile e ni: mi moku e moku.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(pronoun(ni))),subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1088,mi wile e ni: sina moku e moku!,"s(exc(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(pronoun(ni))),subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1090,mi wile e pini.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(noun(pini)))))"
1091,mi wile e sitelen ma.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d((noun(sitelen),adjective(ma))))))"
1093,mi wile e suwi!,"s(exc(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(noun(suwi)))))"
1094,mi wile e suwi sin!,"s(exc(subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d((noun(suwi),adjective(sin))))))"
1096,mi wile kama sona e toki Inli.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(wile),adverb(kama),verb_t(sona)),obj_d((noun(toki),unofficial_language(known_language(Inli)))))))"
1109,mi wile olin e meli.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(wile),verb_t(olin)),obj_d(noun(meli)))))"
1112,mi wile pana e ko jaki.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(wile),verb_t(pana)),obj_d((noun(ko),adjective(jaki))))))"
1113,mi wile pana e telo jelo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(wile),verb_t(pana)),obj_d((noun(telo),adjective(jelo))))))"
1125,moku,headline(obj_i(noun(moku)))
1126,moku!,s(exc(answer(yes(verb_t(moku)))))
1127,moku.,s(dec(answer(yes(verb_t(moku)))))
1128,moku ala!,"s(exc(answer(no(verb_t(moku),adverb(ala)))))"
1129,moku ala.,"s(dec(answer(no(verb_t(moku),adverb(ala)))))"
1130,moku ala a!,"s(exc(answer(no(verb_t(moku),adverb(ala)))),interjection(a))"
1134,moku li suli e mi.,"s(dec(subj_p(noun(moku)),pred_p(verb_t(suli),obj_d(pronoun(mi)))))"
1136,moku pi soweli suli,"headline(obj_i((noun(moku),noun(soweli),adjective(suli))))"
1137,moku pona!,"s(exc(salut(salu_p(noun(moku),adjective(pona)))))"
1138,moku soweli,"headline(obj_i((noun(moku),adjective(soweli))))"
1142,musi pona!,"s(exc(salut(salu_p(noun(musi),adjective(pona)))))"
1143,mute.,s(dec(answer(yes(verb_t(mute)))))
1164,nasin sewi Lapalapala,"headline(obj_i((noun(nasin),adjective(sewi),unofficial_ideology(unknown(Lapalapala)))))"
1165,nasin sewi Patapali,"headline(obj_i((noun(nasin),adjective(sewi),unofficial_ideology(known_ideology(Patapali)))))"
1166,nasin sewi Patapali pi monsuta waso li ' musi pi pilin mi.,"s(dec(subj_p(((noun(nasin),adjective(sewi),unofficial_ideology(known_ideology(Patapali))),noun(monsuta),adjective(waso))),pred_p(verb_i(be),(noun(musi),noun(pilin),pronoun(mi)))))"
1167,nasin tawa pi jan Nuton,"headline(obj_i(((noun(nasin),adjective(tawa)),noun(jan),unofficial_person_name(unknown(Nuton)))))"
1184,ni li kule seme?,"s(int(what_is_object(subj_p(pronoun(ni)),pred_p(verb_i(be),(noun(kule),pronoun_interrogative(seme))))))"
1186,ni li lipu mi pi toki pona.,"s(dec(subj_p(pronoun(ni)),pred_p(verb_i(be),((noun(lipu),pronoun(mi)),noun(toki),adjective(pona)))))"
1191,ni li moku e moku.,"s(dec(subj_p(pronoun(ni)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1213,ni li tenpo suno pi jan Kitopokolonpo.,"s(dec(subj_p(pronoun(ni)),pred_p(verb_i(be),((noun(tenpo),adjective(suno)),noun(jan),unofficial_person_name(unknown(Kitopokolonpo))))))"
1215,nimi mi li Apu.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_person_name(unknown(Apu))))))"
1216,nimi mi li Devil.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_person_name(famous_person(Devil))))))"
1217,nimi mi li jan Ken.,"s(dec(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),(noun(jan),unofficial_male_name(known_male_name(Ken))))))"
1218,nimi mi li jan Pepe pona.,"s(dec(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),(noun(jan),unofficial_male_name(known_male_name(Pepe)),adjective(pona)))))"
1219,nimi mi li Lisa.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_female_name(known_female_name(Lisa))))))"
1220,nimi mi li ' Lope.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_male_name(known_male_name(Lope))))))"
1221,nimi mi li Lope!,"s(exc(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_male_name(known_male_name(Lope))))))"
1222,nimi mi li Lope.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_male_name(known_male_name(Lope))))))"
1223,nimi mi li Lopen.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_person_name(unknown(Lopen))))))"
1224,nimi mi li ' Mawija.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_famous_woman(known_famous_woman(Mawija))))))"
1225,nimi mi li Mawija.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_famous_woman(known_famous_woman(Mawija))))))"
1226,nimi mi li Mose.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_famous_man(famous_man(Mose))))))"
1227,nimi mi li Nikita.,"s(dec(des(subj_p((noun(nimi),pronoun(mi))),pred_p(verb_i(be),unofficial_male_name(known_male_name(Nikita))))))"
1229,nimi ona li Sili.,"s(dec(des(subj_p((noun(nimi),pronoun(ona))),pred_p(verb_i(be),unofficial_person_name(unknown(Sili))))))"
1230,nimi pi ijo pona ni li Konipute.,"s(dec(des(subj_p((noun(nimi),noun(ijo),adjective(pona),pronoun(ni))),pred_p(verb_i(be),unofficial_thing(unknown(Konipute))))))"
1231,nimi pi kulupu mi li Neje.,"s(dec(des(subj_p((noun(nimi),noun(kulupu),pronoun(mi))),pred_p(verb_i(be),unofficial_community(known_community(Neje))))))"
1232,nimi pi kulupu mi li Patapali.,"s(dec(des(subj_p((noun(nimi),noun(kulupu),pronoun(mi))),pred_p(verb_i(be),unofficial_community(unknown(Patapali))))))"
1233,nimi pi ma mi li ' Tosi.,"s(dec(des(subj_p((noun(nimi),noun(ma),pronoun(mi))),pred_p(verb_i(be),unofficial_country(known_country(Tosi))))))"
1234,nimi pi ma mi li Tosi.,"s(dec(des(subj_p((noun(nimi),noun(ma),pronoun(mi))),pred_p(verb_i(be),unofficial_country(known_country(Tosi))))))"
1235,nimi pi ma suli mi li Elopa.,"s(dec(des(subj_p((noun(nimi),noun(ma),adjective(suli),pronoun(mi))),pred_p(verb_i(be),unofficial_continent(known_continent(Elopa))))))"
1236,nimi pi ma tomo mi li Pelin.,"s(dec(des(subj_p((noun(nimi),noun(ma),adjective(tomo),pronoun(mi))),pred_p(verb_i(be),unofficial_city(known_city(Pelin))))))"
1237,nimi pi nasin pona mi li Patapali.,"s(dec(des(subj_p((noun(nimi),noun(nasin),adjective(pona),pronoun(mi))),pred_p(verb_i(be),unofficial_ideology(known_ideology(Patapali))))))"
1238,nimi pi nasin sewi mi li ' Patapali.,"s(dec(des(subj_p((noun(nimi),noun(nasin),adjective(sewi),pronoun(mi))),pred_p(verb_i(be),unofficial_ideology(known_ideology(Patapali))))))"
1239,nimi pi nasin sewi mi li Patapali.,"s(dec(des(subj_p((noun(nimi),noun(nasin),adjective(sewi),pronoun(mi))),pred_p(verb_i(be),unofficial_ideology(known_ideology(Patapali))))))"
1240,nimi pi sitelen tawa ni li X-Files.,"s(dec(des(subj_p((noun(nimi),noun(sitelen),adjective(tawa),pronoun(ni))),pred_p(verb_i(be),unofficial_movie(known_movie(X-Files))))))"
1241,nimi pi toki luka mi li Tosi.,"s(dec(des(subj_p((noun(nimi),noun(toki),adjective(luka),pronoun(mi))),pred_p(verb_i(be),unofficial_sign_language(known_language(Tosi))))))"
1242,nimi pi toki mi li Tosi.,"s(dec(des(subj_p((noun(nimi),noun(toki),pronoun(mi))),pred_p(verb_i(be),unofficial_language(known_language(Tosi))))))"
1243,nimi pi tomo tawa mi li ' Pata.,"s(dec(des(subj_p((noun(nimi),noun(tomo),adjective(tawa),pronoun(mi))),pred_p(verb_i(be),unofficial_thing(unknown(Pata))))))"
1244,nimi pi tomo tawa mi li Pata.,"s(dec(des(subj_p((noun(nimi),noun(tomo),adjective(tawa),pronoun(mi))),pred_p(verb_i(be),unofficial_thing(unknown(Pata))))))"
1245,nimi pi tomo tawa mi li Tapan.,"s(dec(des(subj_p((noun(nimi),noun(tomo),adjective(tawa),pronoun(mi))),pred_p(verb_i(be),unofficial_thing(unknown(Tapan))))))"
1246,nimi pi tomo tawa pona mi li Tapan.,"s(dec(des(subj_p((noun(nimi),noun(tomo),(adjective(tawa),adjective(pona)),pronoun(mi))),pred_p(verb_i(be),unofficial_thing(unknown(Tapan))))))"
1252,o awen e monsi sina.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(awen),obj_d((noun(monsi),pronoun(sina)))))))"
1258,o kipisi e linja tu ni.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(kipisi),obj_d((noun(linja),card(numeral(tu)),pronoun(ni)))))))"
1263,o kute e mama sina.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(kute),obj_d((noun(mama),pronoun(sina)))))))"
1264,o kute e mi!,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(kute),obj_d(pronoun(mi))))))"
1265,olin.,s(dec(answer(yes(verb_t(olin)))))
1268,o lukin e ni!,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(lukin),obj_d(pronoun(ni))))))"
1269,o lukin e pipi loje ni.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(lukin),obj_d((noun(pipi),adjective(loje),pronoun(ni)))))))"
1271,o moku ala e kili mi.,"s(imp(com(subj_p(interjection(o)),pred_p((verb_t(moku),adverb(ala)),obj_d((noun(kili),pronoun(mi)))))))"
1272,o moku e moku.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(moku),obj_d(noun(moku))))))"
1273,o moku e telo a!,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(moku),obj_d(noun(telo))))),interjection(a))"
1274,o moli e pipi kepeken palisa.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(moli),obj_d(noun(pipi)),obj_p(preposition(kepeken),noun(palisa))))))"
1277,ona en ni la ona li moku e moku.,"s(dec(cond_p((pronoun(ona),conj(en),pronoun(ni))),subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1279,ona en sina en mi li moku e moku.,"s(dec(subj_p((pronoun(ona),(conj(en),pronoun(sina)),conj(en),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1283,ona en sina pi mute seme li moku e telo?,"s(int(how_many_subject(subj_p(((pronoun(ona),conj(en),pronoun(sina)),noun(mute),pronoun_interrogative(seme))),pred_p(verb_t(moku),obj_d(noun(telo))))))"
1284,ona li alasa e soweli tu.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(alasa),obj_d((noun(soweli),card(numeral(tu)))))))"
1285,ona li anpa e sinpin ona li kama jo e kasi kepeken uta.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(anpa),obj_d((noun(sinpin),pronoun(ona)))),pred_p(pred_p((verb_p(kama),verb_t(jo)),obj_d(noun(kasi)),obj_p(preposition(kepeken),noun(uta)))))))"
1287,ona li esun e moku anu telo nasa.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(esun),obj_d(noun(moku),obj_a(conj(anu),(noun(telo),adjective(nasa)))))))"
1288,ona li jan pi pana sona seme?,"s(int(what_is_object(subj_p(pronoun(ona)),pred_p(verb_i(be),((noun(jan),noun(pana),adjective(sona)),pronoun_interrogative(seme))))))"
1293,ona li jan pona pi kalama musi.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_i(be),((noun(jan),adjective(pona)),noun(kalama),adjective(musi)))))"
1295,ona li jo e kala pona kin.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(jo),obj_d((noun(kala),adjective(pona),adjective(kin))))))"
1296,ona li jo e len suno pona.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(jo),obj_d((noun(len),adjective(suno),adjective(pona))))))"
1297,ona li jo e seme?,"s(int(what_d_object(subj_p(pronoun(ona)),pred_p(verb_t(jo),obj_d(pronoun_interrogative(seme))))))"
1298,ona li jo e sijelo lete kepeken luka.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(jo),obj_d((noun(sijelo),adjective(lete))),obj_p(preposition(kepeken),noun(luka)))))"
1300,ona li kama e tomo pi meli Isapela li pakala e lupa li lukin e unpa ona.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(kama),obj_d((noun(tomo),noun(meli),unofficial_female_name(unknown(Isapela))))),pred_p(pred_p(verb_t(pakala),obj_d(noun(lupa)))),pred_p(pred_p(verb_t(lukin),obj_d((noun(unpa),pronoun(ona))))))))"
1302,ona li kama jo e kon.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_p(kama),verb_t(jo)),obj_d(noun(kon)))))"
1305,ona li kama sona e toki seme?,"s(int(which_object(subj_p(pronoun(ona)),pred_p((verb_p(kama),verb_t(sona)),obj_d(noun(toki),pronoun_interrogative(seme))))))"
1306,"ona li kama, tan ma pi mama mi seme?","s(int(where_from(subj_p(pronoun(ona)),pred_p(verb_t(kama),obj_p(preposition(tan),(noun(ma),noun(mama),pronoun(mi)),pronoun_interrogative(seme))))))"
1307,"ona li kama, tan ma tomo seme?","s(int(where_from(subj_p(pronoun(ona)),pred_p(verb_t(kama),obj_p(preposition(tan),(noun(ma),adjective(tomo)),pronoun_interrogative(seme))))))"
1319,ona li kule e tomo tawa.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(kule),obj_d((noun(tomo),adjective(tawa))))))"
1320,ona li kute ala kute?,"s(int(yes_no(subj_p(pronoun(ona)),pred_p(verb_t(kute),adverb(ala),verb_t(kute)))))"
1324,"ona li lawa e jan, tawa ma pona.","s(dec(subj_p(pronoun(ona)),pred_p(verb_t(lawa),obj_d(noun(jan)),obj_p(preposition(tawa),(noun(ma),adjective(pona))))))"
